company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
Sundaram Finance,4.0,1.1k,2.9k,44,25,NBFC,Chennai +247 other locations,87,48
Hyundai Mobis,3.7,1.1k,5k,79,12,Auto Components,Chennai +47 other locations,124,48
Navitasys India,4.1,1.1k,2.6k,142,--,Electronics Manufacturing,Bawal +25 other locations,54,48
Advantmed,4.2,1.1k,2.6k,169,44,Healthcare,Ahmedabad +14 other locations,53,48
Stanza Living,3.0,1.1k,3.6k,89,14,Internet,Bangalore / Bengaluru +36 other locations,58,48
Zydus Wellness,4.1,1.1k,2.8k,104,17,FMCG,Ahmedabad +128 other locations,71,48
Wonder Home Finance,4.6,1.1k,716,186,1,NBFC,Jaipur +117 other locations,9,48
Jet Airways,4.6,1.1k,1.9k,24,--,Aviation,Mumbai +45 other locations,180,48
Kohler,3.7,1.1k,4.8k,76,42,Building Material,Pune +51 other locations,75,48
Balkrishna Industries,4.0,1.1k,4.1k,62,--,Auto Components,Bhuj +31 other locations,48,48
V2 Retail,3.4,1.1k,2.6k,81,47,Retail,New Delhi +124 other locations,83,48
TK Elevator,3.8,1.1k,4.2k,64,13,Industrial Machinery,Pune +79 other locations,96,48
Syngenta,4.2,1.1k,3.6k,77,33,Agriculture,Pune +170 other locations,92,48
Unicharm,4.0,1.1k,2.8k,64,--,FMCG,Gurgaon / Gurugram +188 other locations,104,48
Hikal,3.9,1.1k,4.6k,75,66,Pharma,Bangalore / Bengaluru +22 other locations,86,49
GAIL,4.4,1.1k,3.2k,80,--,Oil & Gas,New Delhi +101 other locations,88,49
Asirvad Microfinance,3.8,1.1k,2.2k,43,12,NBFC,Chennai +308 other locations,60,49
CALIBEHR,3.9,1.1k,2.7k,65,8,IT Services & Consulting,Mumbai +181 other locations,62,49
Sri Chaitanya Educational Institutions,3.7,1.1k,3k,49,2,Education & Training,Hyderabad / Secunderabad +102 other locations,66,49
Kirloskar Brothers,3.8,1.1k,4.3k,88,23,Industrial Machinery,Pune +73 other locations,96,49
Tube Investments of India,3.8,1.1k,3.5k,69,7,Engineering & Construction,Chennai +63 other locations,53,49
Siemens Gamesa Renewable Power Private Limited,4.0,1.1k,4.9k,60,96,Power,Bangalore / Bengaluru +69 other locations,102,49
Adani Ports and SEZ,3.6,1.1k,3.9k,75,--,Ports & Shipping,Mundra +61 other locations,123,49
Nexa,3.9,1.1k,2.4k,41,--,Automobile,New Delhi +212 other locations,103,49
Air India Sats Airport Services,3.5,1.1k,2.4k,64,2,Aviation,New Delhi +48 other locations,67,49
HPCL-Mittal Energy Limited,4.3,1.1k,4.6k,45,--,Petrochemicals,Bathinda +31 other locations,107,49
MAHLE ANAND Filter Systems,4.0,1.1k,3.4k,37,--,Auto Components,Pune +38 other locations,109,49
Power Grid Corporation of India,4.3,1.1k,2k,73,--,Power,Gurgaon / Gurugram +233 other locations,76,49
1point1 Solutions,3.3,1.1k,3.1k,83,84,BPO,Bangalore / Bengaluru +18 other locations,85,49
MG Motor,3.8,1k,4.6k,76,--,Automobile,Vadodara +99 other locations,72,49
Metropolis Healthcare,3.9,1k,3.5k,64,--,Healthcare,Mumbai +101 other locations,72,49
Gmmco,4.0,1k,2.9k,52,6,Industrial Machinery,Chennai +89 other locations,110,49
Vedanta Aluminium,3.8,1k,4.5k,64,--,Metals & Mining,Jharsuguda +45 other locations,109,49
Klm Axiva Finvest,4.4,1k,753,436,7,NBFC,Bangalore / Bengaluru +159 other locations,6,49
Pernod Ricard,3.5,1k,4.4k,59,10,Beverage,Gurgaon / Gurugram +119 other locations,109,50
Godrej Agrovet,3.9,1k,3.3k,62,5,Agriculture,Mumbai +144 other locations,77,50
Bajaj Capital Insurance Broking Limited,4.4,1k,1.2k,226,--,Insurance,New Delhi +139 other locations,41,50
Zf Rane Automotive,3.9,1k,3.9k,63,--,Auto Components,Chennai +50 other locations,133,50
Spencer's Retail,3.8,1k,2.8k,61,2,Retail,Kolkata +63 other locations,94,50
Nippon Life India Asset Management,4.6,1k,1.5k,157,97,Financial Services,Mumbai +188 other locations,21,50
TKIL,4.1,1k,4.4k,73,3,Industrial Machinery,Pune +60 other locations,91,50
Bharat Sanchar Nigam,3.9,1k,2.6k,47,--,Telecom,Bangalore / Bengaluru +237 other locations,101,50
Svatantra Microfin,3.9,1k,2.1k,42,3,NBFC,Mumbai +320 other locations,74,50
Aarvi Encon,3.9,1k,2.9k,79,--,Recruitment,Mumbai +128 other locations,66,50
GlobalData,3.4,1k,5.7k,92,17,Analytics & KPO,Hyderabad / Secunderabad +22 other locations,101,50
Kinara Capital,4.3,1k,2.2k,93,32,NBFC,Bangalore / Bengaluru +113 other locations,149,50
Dana Anand,4.0,1k,2.9k,52,--,Auto Components,Pune +48 other locations,125,50
TÜV NORD,3.7,1k,3.9k,77,19,"Testing, Inspection and Certification (TIC)",Pune +81 other locations,63,50
SYSKA LED Lights,2.9,1k,2.5k,58,--,Consumer Electronics & Appliances,Pune +156 other locations,80,50
Thermo Fisher Scientific,3.7,1k,6.4k,104,169,Biotechnology,Bangalore / Bengaluru +35 other locations,92,50
Hindustan Zinc,3.8,1k,4.3k,54,--,Metals & Mining,Udaipur +36 other locations,103,50
Ceasefire Industries,3.1,1k,2.4k,121,15,Industrial Machinery,New Delhi +77 other locations,76,50
Knorr-Bremse,3.4,1k,4.9k,66,1,Auto Components,Pune +30 other locations,110,50
Wheels,3.9,1k,5k,71,--,Auto Components,Chennai +46 other locations,72,50
Incheon Motors,4.7,1k,325,271,5,Automobile,Thrissur +15 other locations,7,51
Aspire Systems,3.8,1k,9.6k,125,31,IT Services & Consulting,Chennai +23 other locations,84,51
Sahara India Pariwar,3.8,1k,2.4k,29,--,Broadcasting,Lucknow +248 other locations,100,51
BirlaNu,3.9,1k,2.8k,73,1,Building Material,Hyderabad / Secunderabad +108 other locations,65,51
Northcorp Software,4.8,1k,213,800,4,IT Services & Consulting,Gurgaon / Gurugram +7 other locations,54,51
SitusAMC,3.3,1k,5.4k,69,--,Financial Services,Bangalore / Bengaluru +18 other locations,43,51
Otis Elevator,4.1,1k,3.9k,62,98,Industrial Machinery,Bangalore / Bengaluru +71 other locations,85,51
Lakshmi Machine Works,3.8,1k,4.2k,60,22,Industrial Machinery,Coimbatore +32 other locations,65,51
Amara Raja Group,4.1,1k,3.5k,73,--,Auto Components,Tirupati +78 other locations,100,51
Gharda Chemicals Limited,3.9,1k,4.5k,80,--,Agro Chemicals,Mumbai +72 other locations,101,51
Temenos,3.2,1k,8.8k,96,27,Software Product,Chennai +11 other locations,59,51
IIFL Home Finance,3.8,1.1k,2.8k,54,--,NBFC,Gurgaon / Gurugram +253 other locations,14,51
Netcracker Technology,3.0,1k,9k,142,4,IT Services & Consulting,Hyderabad / Secunderabad +12 other locations,84,51
Tata Capital Housing Finance,4.0,1k,3k,49,1,NBFC,Mumbai +165 other locations,4,51
iQor Global Services,3.3,1k,2.5k,45,26,BPO,Noida +49 other locations,109,51
Vistaar Finance,4.0,1k,1.9k,33,3,NBFC,Bangalore / Bengaluru +200 other locations,135,51
ValueMomentum,3.2,1k,8.6k,94,2,IT Services & Consulting,Hyderabad / Secunderabad +11 other locations,54,51
Uber,4.2,1k,8k,168,4,Internet,Hyderabad / Secunderabad +52 other locations,102,51
Allianz Technology,4.1,1k,6.8k,71,10,IT Services & Consulting,Pune +14 other locations,112,51
Vertiv,3.9,1k,4.3k,57,88,Electronics Manufacturing,Pune +52 other locations,4,51
Encora,3.4,997,7.9k,110,34,IT Services & Consulting,Bangalore / Bengaluru +19 other locations,40,52
Crompton Greaves Consumer Electricals,3.7,999,3.7k,57,28,Consumer Electronics & Appliances,Mumbai +105 other locations,2,52
Fractal Analytics,4.0,995,10.2k,225,118,Analytics & KPO,Bangalore / Bengaluru +17 other locations,104,52
Lemon Tree Hotels,4.0,996,2.7k,60,--,Hospitality,New Delhi +77 other locations,138,52
Hitachi Energy,4.1,995,7k,111,537,Power,Chennai +37 other locations,62,52
NBC Bearings,3.9,995,3.5k,105,7,Auto Components,Jaipur +29 other locations,42,52
TradeIndia (Infocom Network Private Limited),3.3,995,4.3k,86,22,Internet,New Delhi +42 other locations,61,52
MakeMyTrip,3.5,994,7.2k,140,13,Internet,Gurgaon / Gurugram +46 other locations,98,52
Suzuki Motorcycle,4.0,994,3.8k,51,2,Automobile,Gurgaon / Gurugram +118 other locations,87,52
GVPR Engineers,3.7,994,3k,68,19,Engineering & Construction,Hyderabad / Secunderabad +91 other locations,143,52
Perfetti Van Melle,4.2,991,2.6k,36,14,Gurgaon / Gurugram +159 other locations,,95,52
Westside,3.8,990,1.9k,56,--,Retail,Mumbai +106 other locations,75,52
AstraZeneca,4.0,990,7k,66,--,Pharma,Chennai +49 other locations,151,52
IB Group,3.8,988,3.2k,75,--,Food Processing,Rajnandgaon +150 other locations,44,52
ALLEN Career Institute,3.8,989,4.1k,72,24,Education & Training,Kota +70 other locations,39,52
CarDekho Group,3.7,985,5k,84,23,Internet,Gurgaon / Gurugram +82 other locations,111,52
JW Marriott,4.2,984,2k,48,--,Hospitality,Mumbai +43 other locations,154,52
Thomas Cook,4.0,983,3.7k,91,--,Travel & Tourism,Mumbai +81 other locations,85,52
eClinicalWorks,3.6,982,4.9k,77,21,Software Product,Mumbai +19 other locations,155,52
Colgate Palmolive,3.9,985,4.2k,81,36,FMCG,Mumbai +120 other locations,117,52
Visionet Systems,3.3,980,5.8k,77,32,IT Services & Consulting,Bangalore / Bengaluru +17 other locations,87,53
Pristyn Care,3.2,980,4.1k,83,11,Internet,Gurgaon / Gurugram +33 other locations,148,53
Shyam Steel Group,3.5,980,3.5k,82,8,Iron & Steel,Kolkata +82 other locations,48,53
Mastek,3.6,979,6.5k,131,6,IT Services & Consulting,Mumbai +23 other locations,40,53
Secure Meters,3.9,979,4.4k,83,28,Electronics Manufacturing,Udaipur +72 other locations,98,53
Star Cement,4.0,977,3.1k,85,1,Building Material,Guwahati +79 other locations,89,53
United Breweries,3.3,976,3.3k,55,9,Beverage,Bangalore / Bengaluru +105 other locations,89,53
Atlas Copco,4.1,976,5.1k,97,--,Industrial Machinery,Pune +58 other locations,89,53
Malabar Gold and Diamonds,4.0,976,2.5k,94,47,Jewellery,Hyderabad / Secunderabad +127 other locations,64,53
Fortrea Development India Private Limited,3.9,976,4.8k,83,25,Clinical Research,Bangalore / Bengaluru +11 other locations,58,53
Hitachi Payment Services,3.6,975,3.4k,54,--,FinTech,Mumbai +85 other locations,64,53
SLMG Beverages,3.9,975,3k,62,--,Beverage,Lucknow +88 other locations,30,53
Syrma SGS Technologies,4.0,974,3.2k,69,5,Electronics Manufacturing,Chennai +23 other locations,1,53
Hinduja Housing Finance,3.7,975,2.7k,46,37,NBFC,New Delhi +209 other locations,29,53
QX Global Group,3.0,975,4.2k,115,40,BPO,Ahmedabad +20 other locations,35,53
Bounteous x Accolite,3.2,973,7.8k,241,192,IT Services & Consulting,Bangalore / Bengaluru +15 other locations,109,53
Altisource,3.4,973,3.6k,44,69,Real Estate,Bangalore / Bengaluru +9 other locations,137,53
Rebel Foods,3.7,972,3.4k,73,20,Hospitality,Mumbai +80 other locations,63,53
Comviva Technology,2.9,973,6k,84,149,Software Product,Gurgaon / Gurugram +18 other locations,72,53
Cult.fit,3.6,973,4k,80,153,Fitness & Wellness,Bangalore / Bengaluru +41 other locations,77,53
Petrofac,4.2,971,2.4k,46,2,Oil & Gas,Chennai +43 other locations,113,54
ALTEN,3.6,969,5.8k,114,16,IT Services & Consulting,Bangalore / Bengaluru +23 other locations,42,54
Tata Cummins,4.4,969,1.3k,83,--,Auto Components,Jamshedpur +44 other locations,1,54
Collins Aerospace,3.8,968,7.3k,83,19,Defence & Aerospace,Bangalore / Bengaluru +11 other locations,104,54
Innodata India Private Limited,3.6,966,2.6k,98,34,IT Services & Consulting,Noida +23 other locations,54,54
Unity Small Finance Bank,3.6,998,3.9k,62,30,Banking,Mumbai +145 other locations,10,54
TechnipFMC,3.9,965,4.9k,83,44,Engineering & Construction,Hyderabad / Secunderabad +43 other locations,106,54
Kendriya Vidyalaya Sangathan,4.3,965,1.6k,64,--,Education & Training,New Delhi +232 other locations,62,54
Pizza Hut,4.0,966,1.9k,48,--,Hospitality,New Delhi +128 other locations,82,54
Arohan Financial Services,3.9,965,2.1k,39,12,NBFC,Kolkata +230 other locations,59,54
Aparajitha Corporate Services,3.8,965,3k,51,1,Legal,Madurai +97 other locations,56,54
Nasser S. Al Hajri Corporation,3.6,964,1.8k,41,--,Engineering & Construction,Chennai +55 other locations,97,54
VIP Industries,3.7,963,3k,50,16,Retail,Mumbai +94 other locations,89,54
Škoda Auto Volkswagen,3.9,962,4.5k,46,5,Automobile,Pune +47 other locations,79,54
Softenger,4.0,962,2.6k,69,5,IT Services & Consulting,Pune +32 other locations,160,54
Everest Industries,3.8,961,3.2k,60,11,Building Material,Mumbai +97 other locations,87,54
C&S Electric,4.0,959,3.7k,66,24,Electrical Equipment,Noida +57 other locations,94,54
Hiranandani Financial Services,4.4,959,945,203,9,NBFC,Mumbai +134 other locations,14,54
Mahindra Automotives,3.8,960,4.8k,46,--,Automobile,Pune +128 other locations,37,54
Amazon Web Services,3.8,958,6.3k,185,--,IT Services & Consulting,Bangalore / Bengaluru +62 other locations,80,54
Xebia,3.1,958,6.1k,93,18,IT Services & Consulting,Gurgaon / Gurugram +22 other locations,226,55
Barclays Global Service Centre,3.9,956,7.8k,100,--,IT Services & Consulting,Pune +13 other locations,141,55
Vaco Binary Semantics,3.2,956,5.1k,92,28,IT Services & Consulting,Gurgaon / Gurugram +48 other locations,72,55
Lowe's,4.1,955,9.8k,150,42,Retail,Bangalore / Bengaluru +9 other locations,125,55
Natco Pharma,4.0,951,3.4k,53,1,Pharma,Hyderabad / Secunderabad +64 other locations,86,55
Episource,3.9,951,3.3k,226,--,IT Services & Consulting,Chennai +20 other locations,81,55
Mando Automotive,4.0,951,4.3k,55,--,Auto Components,Chennai +21 other locations,124,55
Napino Auto & Electronics,3.8,950,3.8k,66,--,Auto Components,Gurgaon / Gurugram +24 other locations,72,55
LOREAL,3.8,950,3.7k,64,34,Beauty & Personal Care,Mumbai +100 other locations,103,55
Capacit'e Infraprojects,3.7,948,3.2k,69,14,Engineering & Construction,Mumbai +35 other locations,63,55
Hire In Global,4.9,953,8,221,--,Recruitment,Mumbai +53 other locations,2,55
Pricol,3.9,947,4.2k,53,7,Auto Components,Coimbatore +32 other locations,90,55
Lumina Datamatics,3.1,947,4.5k,63,82,IT Services & Consulting,Mumbai +20 other locations,50,55
Merino Industries,3.8,948,3.4k,72,20,Building Material,New Delhi +78 other locations,70,55
MasterCard,3.9,945,11.2k,164,474,FinTech,Pune +14 other locations,100,55
Gannon Dunkerley & Co.,3.3,944,2k,42,3,Engineering & Construction,Kolkata +80 other locations,117,55
Wonder Cement,4.2,944,3.5k,59,77,Building Material,Nimbahera +112 other locations,58,55
Jyothy Labs,4.1,943,2k,49,17,FMCG,Mumbai +193 other locations,72,55
General Mills,4.1,943,5k,79,10,Food Processing,Mumbai +54 other locations,119,55
Tiger Analytics,3.7,943,8.6k,249,48,IT Services & Consulting,Bangalore / Bengaluru +17 other locations,31,55
Jubilant Pharmova,3.7,942,3.3k,61,17,Pharma,Noida +61 other locations,113,56
JSW Group,3.8,941,4.2k,122,1,Iron & Steel,Mumbai +94 other locations,54,56
Quantiphi Analytics Solutions Private Limited,3.1,942,7.1k,202,116,IT Services & Consulting,Bangalore / Bengaluru +17 other locations,57,56
Tikona Infinet,3.5,940,2.6k,33,4,Telecom,Mumbai +46 other locations,86,56
Financial Software & Systems,3.6,939,5.2k,65,8,Software Product,Chennai +33 other locations,62,56
Siemens Energy,4.1,938,5.5k,98,1,Power,Pune +50 other locations,67,56
Defence Research & Development Organisation,4.5,936,3.8k,77,--,Defence & Aerospace,Hyderabad / Secunderabad +56 other locations,88,56
Hathway,3.3,933,3.5k,48,13,Telecom,Mumbai +57 other locations,78,56
J B Chemicals And Pharmaceuticals,3.9,933,3.2k,59,4,Pharma,Mumbai +93 other locations,81,56
Yokohama Off-Highway Tires,3.7,933,4k,65,--,Auto Components,Bharuch +38 other locations,31,56
Aircel,4.4,932,1.2k,9,--,Telecom,New Delhi +115 other locations,153,56
FLSmidth,3.5,931,4.1k,44,15,Industrial Machinery,Chennai +24 other locations,109,56
Salcomp Manufacturing,4.0,932,4.3k,83,1,Electronics Manufacturing,Chennai +27 other locations,74,56
Pramerica Life Insurance,3.6,929,2.4k,39,11,Insurance,Gurgaon / Gurugram +125 other locations,66,56
Shriram General Insurance,3.6,928,3k,40,--,Insurance,Jaipur +199 other locations,53,56
KEI Industries,4.3,927,3.1k,66,3,Electrical Equipment,New Delhi +99 other locations,86,56
Velocis Systems,3.8,926,5.1k,66,8,IT Services & Consulting,New Delhi +51 other locations,52,56
Astral Adhesives,3.9,925,2.3k,54,--,Chemicals,Ahmedabad +153 other locations,59,56
Timken,3.9,925,4.1k,55,--,Industrial Machinery,Jamshedpur +44 other locations,99,56
ICCS,3.1,924,2.9k,64,11,BPO,Noida +31 other locations,48,56
Signify,3.5,922,4.3k,63,34,Consumer Electronics & Appliances,Bangalore / Bengaluru +82 other locations,80,57
Guidehouse,3.6,922,5.2k,76,64,Management Consulting,Chennai +19 other locations,44,57
Amphenol Interconnect,4.3,921,3.6k,50,7,Electrical Equipment,Pune +18 other locations,69,57
Sundaram Clayton,3.9,921,2.8k,34,3,Auto Components,Chennai +29 other locations,90,57
Sandhar Technologies,3.8,920,3.5k,49,6,Auto Components,Gurgaon / Gurugram +30 other locations,73,57
Reliance Power,4.1,919,3.2k,59,2,Power,Singrauli +41 other locations,68,57
Jaro Education,3.2,916,2.3k,108,21,EdTech,Mumbai +23 other locations,53,57
Technip Energies,4.1,919,4.9k,88,38,Engineering & Construction,Noida +39 other locations,42,57
Marsh McLennan,3.9,916,7.8k,50,3,Management Consulting,Mumbai +25 other locations,72,57
VeeTechnologies,3.8,916,4.4k,100,32,IT Services & Consulting,Bangalore / Bengaluru +39 other locations,74,57
Psp Projects,3.9,913,3k,72,24,Engineering & Construction,Ahmedabad +57 other locations,41,57
SFO Technologies,3.4,912,4.6k,46,57,Electronics Manufacturing,Bangalore / Bengaluru +17 other locations,67,57
Naukri,4.2,911,3.1k,220,97,Internet,Noida +72 other locations,115,57
Amazon Sellers Services,4.0,911,2.4k,130,--,Internet,Bangalore / Bengaluru +67 other locations,73,57
Aristo Pharmaceuticals,4.0,910,2.3k,51,7,Pharma,Mumbai +106 other locations,63,57
Adani Enterprises,3.7,910,4.4k,101,2,Metals & Mining,Ahmedabad +76 other locations,75,57
Apotex Research,3.8,908,2.7k,36,30,Pharma,Bangalore / Bengaluru +14 other locations,108,57
Godfrey Phillips India,4.0,907,3.1k,42,--,FMCG,New Delhi +119 other locations,104,57
Bhanzu,3.8,906,1.1k,190,4,EdTech,Bangalore / Bengaluru +14 other locations,2,57
KMV Projects Limited,4.2,904,2.2k,60,--,Engineering & Construction,Hyderabad / Secunderabad +69 other locations,84,57
Netscribes,2.7,903,3.1k,94,37,Analytics & KPO,Kolkata +17 other locations,72,58
Skipper,3.7,904,3k,63,1,Industrial Machinery,Kolkata +88 other locations,56,58
Nityo Infotech,3.3,902,4.9k,99,40,IT Services & Consulting,Bangalore / Bengaluru +31 other locations,48,58
National Payments Corporation of India,3.9,902,4.1k,101,27,FinTech,Mumbai +11 other locations,36,58
Medhaj Techno Concept,4.0,902,2k,56,1,Management Consulting,Lucknow +152 other locations,163,58
Deepak Fertilisers and Petrochemicals,4.1,902,3.3k,48,21,Chemicals,Mumbai +58 other locations,76,58
Test Yantra Software Solutions,3.0,902,25.3k,145,13,IT Services & Consulting,Bangalore / Bengaluru +19 other locations,129,58
Bayer,4.0,900,4.2k,59,--,Pharma,Bangalore / Bengaluru +114 other locations,132,58
Knight Frank,4.0,900,3.3k,58,5,Real Estate,Mumbai +50 other locations,75,58
GE Healthcare,3.9,899,5.9k,85,--,Medical Equipment,Bangalore / Bengaluru +36 other locations,99,58
Nirma,4.2,898,3.1k,52,--,FMCG,Bhavnagar +67 other locations,118,58
Tafe Motors & Tractors,3.9,898,2.8k,58,--,Industrial Machinery,Bhopal +71 other locations,22,58
Aviva Life Insurance India,3.5,898,2.5k,33,9,Insurance,Gurgaon / Gurugram +120 other locations,63,58
AJIO,3.6,898,2.7k,65,--,Internet,Bangalore / Bengaluru +200 other locations,98,58
Volvo,4.0,897,5.3k,77,6,Automobile,Bangalore / Bengaluru +38 other locations,89,58
Xceedance,3.5,897,6.1k,132,3,IT Services & Consulting,Gurgaon / Gurugram +14 other locations,77,58
Egis  India Consulting Engineers,4.2,897,2.3k,57,11,Engineering & Construction,Gurgaon / Gurugram +111 other locations,99,58
Bosch Chassis Systems,4.1,895,2.7k,46,--,Auto Components,Pune +24 other locations,112,58
Experis IT,3.0,896,3.4k,67,--,Recruitment,Bangalore / Bengaluru +35 other locations,43,58
Neel Metal Products,4.1,894,2.7k,56,--,Auto Components,Gurgaon / Gurugram +37 other locations,71,58
Neel Metal Products,4.1,894,2.7k,56,--,Auto Components,Gurgaon / Gurugram +37 other locations,71,59
BGR Energy Systems,3.8,893,3.2k,47,--,Engineering & Construction,Chennai +54 other locations,121,59
HomeLane,3.3,893,4.1k,92,163,Architecture & Interior Design,Bangalore / Bengaluru +35 other locations,63,59
Schlumberger,3.8,892,5.2k,155,43,Oil & Gas,Pune +36 other locations,112,59
Navayuga Engineering Company,3.9,892,2.4k,61,8,Engineering & Construction,Hyderabad / Secunderabad +72 other locations,89,59
BDR Pharmaceuticals International,4.1,891,1.9k,134,49,Pharma,Vadodara +29 other locations,31,59
Re Sustainability Limited,3.8,889,3k,58,48,Waste Management,Hyderabad / Secunderabad +84 other locations,77,59
Yashoda Hospitals,3.9,884,3.3k,64,21,Healthcare,Hyderabad / Secunderabad +31 other locations,85,59
Steag Energy Services,4.3,888,2.8k,47,11,Power,Jharsuguda +63 other locations,98,59
OCS Group,4.1,887,2.6k,59,17,Facility Management Services,Mumbai +57 other locations,56,59
SKH Metals,4.0,885,2.7k,76,2,Auto Components,Gurgaon / Gurugram +26 other locations,56,59
Medha Servo Drives,4.3,885,3k,91,--,Electrical Equipment,Hyderabad / Secunderabad +54 other locations,110,59
Vedanta Resources,3.7,883,4.8k,94,5,Metals & Mining,Jharsuguda +72 other locations,93,59
Michelin,3.7,882,4.8k,63,52,Auto Components,Pune +47 other locations,110,59
Tata Chemicals,3.9,882,2.7k,76,9,Chemicals,Jamnagar +85 other locations,134,59
Updater Services,3.7,879,2.9k,48,7,Facility Management Services,Chennai +99 other locations,55,59
HT Media,3.1,878,4.7k,60,6,Media & Entertainment,New Delhi +43 other locations,87,59
TNQ Tech Private Limited,3.5,877,3.9k,66,15,Printing & Publishing,Chennai +13 other locations,66,59
Target,4.0,877,6.6k,136,109,Retail,Bangalore / Bengaluru +17 other locations,86,59
Alok Industries,3.6,876,3.2k,50,--,Fashion & Textile,Silvassa / Dadra & Nagar Haveli +34 other locations,81,59
Marks & Spencer,3.9,875,3k,36,8,Retail,New Delhi +60 other locations,118,60
Musashi Auto Parts,3.8,875,2.9k,42,1,Auto Components,Rewari +26 other locations,72,60
Vijay Sales,4.1,875,2.7k,62,3,Retail,Mumbai +52 other locations,56,60
Ashirvad Pipes,3.9,875,2.9k,68,10,Building Material,Bangalore / Bengaluru +107 other locations,85,60
CIEL HR,4.0,876,3k,70,1,Recruitment,Bangalore / Bengaluru +104 other locations,56,60
Next Education India,3.2,871,2.7k,49,29,EdTech,Hyderabad / Secunderabad +95 other locations,123,60
LanceSoft,3.2,869,5.1k,67,9,Recruitment,Hyderabad / Secunderabad +29 other locations,37,60
RAMTeCH Software Solutions,3.7,868,3.4k,44,7,IT Services & Consulting,Hyderabad / Secunderabad +36 other locations,53,60
ACL Digital,3.6,864,6.3k,88,44,IT Services & Consulting,Bangalore / Bengaluru +26 other locations,46,60
C.R.I. Pumps,3.9,864,2.7k,32,25,Industrial Machinery,Coimbatore +69 other locations,74,60
FastInfo,4.1,863,865,87,--,Internet,Kolkata +8 other locations,349,60
Greenlam Industries,4.1,861,3.1k,61,9,Furniture & Furnishing,New Delhi +114 other locations,48,60
JSW Paints,3.8,858,2.9k,97,1,Chemicals,Mumbai +164 other locations,30,60
Consolidated Contractors,4.4,858,1.3k,37,--,Engineering & Construction,Mumbai +56 other locations,162,60
Centum Electronics,3.6,857,3.6k,27,5,Electronics Manufacturing,Bangalore / Bengaluru +18 other locations,107,60
Athena BPO,3.3,857,2.7k,56,--,BPO,Mumbai +38 other locations,58,60
Carborundum Universal Limited,3.7,857,3.5k,38,--,Industrial Machinery,Chennai +130 other locations,60,60
Bechtel,3.9,857,3.5k,73,44,Engineering & Construction,Gurgaon / Gurugram +31 other locations,90,60
Parekh Integrated Services,4.1,856,2.7k,41,14,Logistics,Mumbai +75 other locations,91,60
"Commonwealth Bank of Australia, India",2.8,856,7.4k,110,14,Financial Services,Bangalore / Bengaluru +14 other locations,48,60
Precision Infomatic M Pvt Ltd,3.8,856,2.8k,55,3,IT Services & Consulting,Chennai +91 other locations,26,61
Silaris Informations,3.0,856,2.8k,57,9,BPO,New Delhi +22 other locations,49,61
Tata Starbucks,4.0,855,1.9k,59,284,Hospitality,Mumbai +56 other locations,107,61
Sona Comstar,4.0,855,3.8k,76,1,Auto Components,Gurgaon / Gurugram +23 other locations,61,61
Magna International,3.8,854,5.4k,52,97,Auto Components,Pune +21 other locations,68,61
Wakefit,4.0,854,2.8k,78,23,Furniture & Furnishing,Bangalore / Bengaluru +53 other locations,26,61
Future Focus Infotech,3.4,853,4.2k,56,--,IT Services & Consulting,Bangalore / Bengaluru +58 other locations,48,61
Orient Electric,3.6,854,3.2k,59,49,Consumer Electronics & Appliances,New Delhi +84 other locations,49,61
MAS Financial Services,3.7,853,2.2k,55,57,NBFC,Ahmedabad +137 other locations,39,61
LEAD School,3.3,852,3.3k,94,2,EdTech,Mumbai +104 other locations,74,61
Intellipaat Software Solutions,3.8,852,2k,174,2,EdTech,Bangalore / Bengaluru +16 other locations,11,61
National Health Mission,3.4,852,2.3k,33,--,Healthcare,Guwahati +279 other locations,50,61
Serco,4.2,852,1.2k,33,--,Analytics & KPO,Mumbai +40 other locations,136,61
Acme Cleantech Solutions,4.0,850,2.6k,81,25,Power,Gurgaon / Gurugram +100 other locations,93,61
Panacea Biotec,3.6,850,2.7k,66,2,Biotechnology,Baddi +70 other locations,97,61
Motherson Sumi Wiring,3.7,882,3.5k,89,--,Electrical Equipment,Noida +40 other locations,6,61
Mahindra First Choice Wheels,3.8,848,3k,41,--,Internet,Mumbai +119 other locations,76,61
Shilpa Medicare,3.5,847,3.8k,64,5,Pharma,Hyderabad / Secunderabad +30 other locations,52,61
Apar Industries,4.1,848,3.3k,60,1,Semiconductors,Mumbai +73 other locations,49,61
Ageas Federal Life Insurance,3.5,846,2.3k,55,27,Insurance,Mumbai +124 other locations,66,61
Rico Auto Industries,3.8,845,3.5k,58,2,Auto Components,Gurgaon / Gurugram +32 other locations,49,62
Nlb Services,3.6,844,3.2k,35,1,Recruitment,Noida +21 other locations,57,62
Birla Opus Paints,4.0,844,1.9k,84,--,Chemicals,Mumbai +248 other locations,3,62
Feedback Infrastructure Services,3.4,843,2.5k,47,3,Engineering & Construction,Gurgaon / Gurugram +130 other locations,90,62
M3M India,4.0,842,3.2k,62,--,Real Estate,Gurgaon / Gurugram +10 other locations,35,62
IDEMIA,3.9,842,3.8k,60,53,Electronics Manufacturing,Noida +51 other locations,74,62
WSP,4.2,842,3.5k,106,382,Management Consulting,Bangalore / Bengaluru +32 other locations,21,62
