company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
Tata Tele Business Services,3.6,1.9k,4.4k,53,66,Telecom,Mumbai +135 other locations,274,26
Crisil,3.5,1.9k,13.2k,212,630,Analytics & KPO,Mumbai +80 other locations,222,26
Google,4.4,1.9k,31k,1k,558,Software Product,Bangalore / Bengaluru +84 other locations,132,26
Angel One,3.6,1.9k,7.5k,163,17,FinTech,Mumbai +132 other locations,153,26
CNH (Case New Holland),3.7,1.9k,5.9k,136,30,Industrial Machinery,Gurgaon / Gurugram +137 other locations,162,26
Safexpress,3.9,1.9k,5.7k,126,12,Logistics,New Delhi +157 other locations,148,27
DHL Supply Chain,4.2,1.9k,6k,117,12,Logistics,Mumbai +102 other locations,137,27
Adecco Group,3.8,1.9k,7k,117,--,Recruitment,Bangalore / Bengaluru +179 other locations,137,27
G R Infraprojects,4.1,1.9k,5.4k,161,43,Engineering & Construction,Gurgaon / Gurugram +155 other locations,158,27
NTPC,4.2,1.9k,4.2k,179,--,Power,New Delhi +121 other locations,176,27
Tata Power,3.9,1.9k,7.2k,212,9,Power,Mumbai +150 other locations,123,27
Aye Finance,4.1,1.9k,3.5k,93,29,NBFC,Gurgaon / Gurugram +361 other locations,115,27
HTC Global Services,3.4,1.9k,12.9k,161,50,IT Services & Consulting,Chennai +32 other locations,108,27
Iris Software,3.8,1.9k,7.7k,206,412,IT Services & Consulting,Noida +24 other locations,245,27
Thomson Reuters,3.8,1.8k,10.5k,137,73,Software Product,Bangalore / Bengaluru +26 other locations,226,27
Infinx,3.8,1.8k,5.3k,208,22,Software Product,Hyderabad / Secunderabad +36 other locations,72,27
Trident Group,3.3,1.8k,5.3k,136,15,Fashion & Textile,Barnala +59 other locations,122,27
Aadhar Housing Finance,4.0,1.8k,4.8k,117,1,NBFC,Mumbai +321 other locations,99,27
TVS Sundram Fasteners,3.6,1.8k,6.7k,91,--,Auto Components,Chennai +66 other locations,203,27
Hindustan Aeronautics,4.3,1.8k,4.3k,85,--,Defence & Aerospace,Bangalore / Bengaluru +64 other locations,173,27
First American (India),3.6,1.8k,9.4k,99,68,Insurance,Bangalore / Bengaluru +22 other locations,172,27
KENT RO Systems,3.8,1.8k,4.5k,98,2,Consumer Electronics & Appliances,Noida +152 other locations,106,27
Torrent Power,3.8,1.8k,7.6k,163,57,Power,Ahmedabad +61 other locations,157,27
Jindal Saw,4.0,1.8k,6.5k,142,13,Iron & Steel,Mundra +76 other locations,182,27
ICICI Home Finance,3.7,1.8k,5.1k,98,7,Financial Services,Mumbai +216 other locations,87,27
Aragen Life Sciences,3.9,1.8k,6.4k,125,112,Clinical Research,Hyderabad / Secunderabad +31 other locations,298,28
Medi Assist India,3.5,1.8k,7.2k,135,85,Insurance,Bangalore / Bengaluru +65 other locations,139,28
PI Industries,3.8,1.8k,6.8k,136,5,Agro Chemicals,Vadodara +104 other locations,162,28
NeoSOFT,3.4,1.8k,10.7k,296,72,IT Services & Consulting,Mumbai +24 other locations,101,28
CSB Bank,3.2,1.8k,6.8k,106,4,Banking,Mumbai +231 other locations,44,28
Honda Cars,4.3,1.8k,6.3k,112,--,Automobile,Bhiwadi +117 other locations,182,28
Fusion CX,3.3,1.8k,4.4k,141,105,BPO,Kolkata +57 other locations,98,28
AXA Business Services,3.8,1.8k,7.2k,102,13,IT Services & Consulting,Pune +11 other locations,171,28
Polycab Wires,3.9,1.8k,6.8k,129,19,Electrical Equipment,Vadodara +167 other locations,88,28
Sterling & Wilson,4.0,1.8k,6.6k,83,30,Engineering & Construction,Mumbai +129 other locations,200,28
AkzoNobel,4.1,1.8k,4.3k,141,38,Chemicals,Pune +161 other locations,132,28
Verizon,3.6,1.8k,11.4k,130,--,Telecom,Hyderabad / Secunderabad +10 other locations,200,28
Capri Global Capital,3.6,1.8k,4.1k,73,57,NBFC,New Delhi +326 other locations,38,28
Innovsource Services,3.9,1.8k,4.6k,76,1,Recruitment,Mumbai +247 other locations,126,28
